,ESPECIE,SEXO,HABITAT,PESO_g,TAMANHO_cm,BICO_mm,ASA_cm
58,PICA-PAU,FEMEA,MOSQUEIRO,51.222,22.978,22.994,9.443
59,ANAMBE,MACHO,MOSQUEIRO,77.218,19.325,12.813,10.875
60,ARARA AZUL,MACHO,MARAJO,1333.492,92.857,103.108,39.354
61,PICA-PAU,FEMEA,MOSQUEIRO,55.334,20.065,23.267,11.478
62,PICA-PAU,FEMEA,MOSQUEIRO,54.259,21.606,22.246,10.161
63,ANAMBE,FEMEA,MARAJO,75.565,17.212,13.651,10.782
64,PICA-PAU,FEMEA,MOSQUEIRO,63.415,23.938,22.761,11.095
65,PICA-PAU,FEMEA,MOSQUEIRO,55.148,21.404,20.346,9.714
66,ANAMBE,MACHO,MOSQUEIRO,81.672,18.592,14.957,14.316
67,PICA-PAU,FEMEA,MOSQUEIRO,53.724,19.165,21.831,8.328
68,PICA-PAU,FEMEA,MOSQUEIRO,56.241,23.725,24.2,9.291
69,ARARA AZUL,MACHO,MARAJO,1232.163,101.876,101.658,34.86
70,ARARA AZUL,MACHO,MARAJO,1407.892,91.473,98.979,44.577
71,ANAMBE,FEMEA,MOSQUEIRO,65.916,17.712,11.067,15.171
72,ARARA AZUL,FEMEA,MARAJO,1091.727,91.432,86.511,31.843
73,ANAMBE,MACHO,MOSQUEIRO,83.906,19.9,15.502,10.838
74,ANAMBE,FEMEA,MOSQUEIRO,73.134,19.378,13.199,11.366
75,ANAMBE,FEMEA,MOSQUEIRO,67.512,16.118,13.311,13.035
76,ANAMBE,FEMEA,MARAJO,75.993,20.144,13.898,10.397
77,ANAMBE,MACHO,MOSQUEIRO,89.824,22.453,14.676,16.236
78,ARARA AZUL,FEMEA,MARAJO,1047.157,80.242,88.58,31.285
79,ANAMBE,FEMEA,MOSQUEIRO,72.464,18.723,11.922,12.391
80,ANAMBE,MACHO,MOSQUEIRO,84.971,22.125,15.509,12.633
81,PICA-PAU,FEMEA,MOSQUEIRO,55.234,19.447,22.478,9.741
82,ANAMBE,MACHO,MARAJO,76.609,20.415,17.625,14.39
83,PICA-PAU,MACHO,MOSQUEIRO,62.799,22.958,25.511,10.569
84,PICA-PAU,FEMEA,MOSQUEIRO,55.797,19.983,22.773,9.281
85,ARARA AZUL,FEMEA,MARAJO,1436.024,93.501,85.231,35.118
86,ARARA AZUL,MACHO,MARAJO,1465.75,105.906,100.78,40.048
87,ARARA AZUL,FEMEA,MARAJO,1326.802,89.021,92.621,32.326
88,ANAMBE,FEMEA,MARAJO,75.51,17.409,16.096,13.462
89,PICA-PAU,FEMEA,MOSQUEIRO,59.514,20.687,21.695,9.877
90,ANAMBE,FEMEA,MOSQUEIRO,55.931,19.523,11.781,14.473
91,PICA-PAU,MACHO,MOSQUEIRO,62.523,21.83,24.989,13.388
92,ANAMBE,MACHO,MOSQUEIRO,74.2,24.016,14.624,11.04
93,PICA-PAU,MACHO,MOSQUEIRO,64.636,20.52,23.308,12.389
94,ANAMBE,FEMEA,MARAJO,80.713,20.462,14.921,11.865
95,ANAMBE,FEMEA,MARAJO,71.893,18.084,15.292,10.335
96,ANAMBE,MACHO,MOSQUEIRO,94.11,20.15,15.866,14.292
97,ANAMBE,FEMEA,MOSQUEIRO,72.199,18.46,14.247,12.601
98,PICA-PAU,FEMEA,MOSQUEIRO,50.916,20.306,23.473,10.799
99,ARARA AZUL,MACHO,MARAJO,1698.973,101.163,109.891,38.907
100,ARARA AZUL,FEMEA,MARAJO,941.687,82.949,99.614,33.748
101,ARARA AZUL,FEMEA,MARAJO,1002.974,90.52,99.092,33.806
102,ARARA AZUL,MACHO,MARAJO,1388.969,95.259,94.784,38.182
103,PICA-PAU,MACHO,MOSQUEIRO,70.236,25.573,25.548,11.532
104,ARARA AZUL,MACHO,MARAJO,1328.767,104.479,95.18,35.093
105,ANAMBE,MACHO,MARAJO,92.679,23.199,16.011,15.04
106,ARARA AZUL,MACHO,MARAJO,1490.804,93.519,99.969,32.078
107,ARARA AZUL,MACHO,MARAJO,1584.317,100.037,98.486,32.75
108,ARARA AZUL,MACHO,MARAJO,1174.583,95.199,99.564,38.084
109,ARARA AZUL,MACHO,MARAJO,1230.878,93.351,99.879,42.075
110,ANAMBE,MACHO,MARAJO,83.249,23.2,17.903,16.55
111,ANAMBE,MACHO,MOSQUEIRO,78.026,22.16,15.831,11.426
112,PICA-PAU,MACHO,MOSQUEIRO,68.406,21.519,22.801,12.138
113,ARARA AZUL,FEMEA,MARAJO,1096.959,101.327,90.38,31.224
114,ARARA AZUL,FEMEA,MARAJO,942.462,89.954,89.611,30.96
115,ANAMBE,FEMEA,MOSQUEIRO,70.165,17.371,13.551,12.633
116,PICA-PAU,FEMEA,MOSQUEIRO,49.522,20.712,23.863,11.101
117,ARARA AZUL,FEMEA,MARAJO,939.031,91.833,89.122,23.858
118,ANAMBE,MACHO,MOSQUEIRO,74.924,20.29,13.697,11.299
119,PICA-PAU,MACHO,MOSQUEIRO,70.672,20.74,23.283,12.939
120,ARARA AZUL,MACHO,MARAJO,1479.779,97.464,92.978,41.07
121,ANAMBE,MACHO,MOSQUEIRO,75.863,18.316,14.024,11.933
122,PICA-PAU,FEMEA,MOSQUEIRO,48.154,20.433,25.137,9.176
123,PICA-PAU,FEMEA,MOSQUEIRO,67.384,20.013,22.024,11.335
124,PICA-PAU,MACHO,MOSQUEIRO,64.927,21.962,26.789,11.183
125,ARARA AZUL,MACHO,MARAJO,1313.23,96.908,99.253,38.377
126,ANAMBE,MACHO,MOSQUEIRO,83.682,21.853,15.662,13.459
127,ARARA AZUL,MACHO,MARAJO,1320.247,95.248,107.712,32.14
128,ARARA AZUL,MACHO,MARAJO,1284.124,106.06,109.72,39.806
129,ANAMBE,FEMEA,MOSQUEIRO,66.887,16.597,12.699,12.991
130,ANAMBE,FEMEA,MOSQUEIRO,56.548,17.963,11.93,14.202
131,ARARA AZUL,MACHO,MARAJO,1288.665,99.553,103.457,36.146
132,ANAMBE,MACHO,MOSQUEIRO,79.416,23.799,15.658,12.402
133,PICA-PAU,MACHO,MOSQUEIRO,,19.843,23.838,11.363
134,PICA-PAU,FEMEA,MOSQUEIRO,59.56,20.254,20.333,9.424
135,PICA-PAU,FEMEA,MOSQUEIRO,56.453,20.061,22.967,10.27
136,ARARA AZUL,MACHO,MARAJO,1242.954,96.012,89.56,41.184
137,ANAMBE,FEMEA,MOSQUEIRO,71.839,17.714,11.513,16.357
138,ARARA AZUL,MACHO,MARAJO,1396.81,104.855,98.796,39.005
139,ARARA AZUL,FEMEA,MARAJO,916.285,88.947,89.726,34.544
140,ANAMBE,MACHO,MARAJO,82.929,23.195,16.389,12.711
141,PICA-PAU,MACHO,MOSQUEIRO,60.878,25.957,27.181,12.051
142,ANAMBE,MACHO,MARAJO,95.692,25.545,16.944,13.477
143,ANAMBE,FEMEA,MOSQUEIRO,64.924,18.251,13.003,10.689
144,PICA-PAU,FEMEA,MOSQUEIRO,60.187,20.925,23.701,9.614
145,PICA-PAU,FEMEA,MOSQUEIRO,57.204,23.856,23.256,10.177
146,ARARA AZUL,MACHO,MARAJO,1439.427,93.816,106.93,37.683
147,ARARA AZUL,MACHO,MARAJO,1323.826,100.357,102.264,39.734
148,PICA-PAU,FEMEA,MOSQUEIRO,54.804,19.212,22.97,9.987
149,ANAMBE,MACHO,MOSQUEIRO,77.458,20.824,14.262,12.876
150,PICA-PAU,FEMEA,MOSQUEIRO,49.523,20.245,23.659,12.232
151,ARARA AZUL,MACHO,MARAJO,1521.196,107.272,104.409,38.982
152,ANAMBE,FEMEA,MOSQUEIRO,61.892,18.041,13.622,13.107
153,ANAMBE,MACHO,MOSQUEIRO,75.309,23.021,15.193,12.505
154,PICA-PAU,MACHO,MOSQUEIRO,60.765,23.742,20.221,11.112
155,ANAMBE,MACHO,MOSQUEIRO,85.228,23.5,15.486,13.867
156,ANAMBE,MACHO,MOSQUEIRO,85.362,20.873,16.425,12.323
157,ARARA AZUL,FEMEA,MARAJO,1183.616,87.799,88.735,31.918
158,ANAMBE,FEMEA,MOSQUEIRO,77.871,16.621,13.045,13.477
159,ARARA AZUL,MACHO,MARAJO,1517.706,110.759,103.655,42.694
160,ANAMBE,FEMEA,MARAJO,77.739,16.95,13.815,12.207
161,ARARA AZUL,MACHO,MARAJO,1869.946,100.821,102.608,35.971
162,ARARA AZUL,MACHO,MARAJO,1260.783,98.688,103.437,40.16
163,ANAMBE,FEMEA,MARAJO,75.711,19.685,15.719,15.348
164,ARARA AZUL,MACHO,MARAJO,977.153,96.461,94.596,38.228
165,ANAMBE,FEMEA,MARAJO,72.08,20.943,13.944,13.405
166,ARARA AZUL,MACHO,MARAJO,1567.736,103.039,100.435,36.691
167,ANAMBE,MACHO,,82.944,19.374,14.234,11.501
168,ANAMBE,FEMEA,MOSQUEIRO,72.596,16.872,12.916,13.084
169,ARARA AZUL,FEMEA,MARAJO,1087.952,88.305,77.25,37.271
170,ANAMBE,MACHO,MOSQUEIRO,76.859,23.865,14.48,12.132
171,ANAMBE,MACHO,MOSQUEIRO,88.291,19.438,16.844,16.404
172,ANAMBE,MACHO,MOSQUEIRO,82.769,21.588,15.596,11.19
173,PICA-PAU,FEMEA,MOSQUEIRO,51.885,19.48,22.155,10.184
174,ANAMBE,MACHO,MOSQUEIRO,74.902,19.576,14.511,13.843
175,ARARA AZUL,FEMEA,MARAJO,1238.523,92.25,90.685,29.766
176,PICA-PAU,MACHO,MOSQUEIRO,79.366,20.867,25.698,12.662
177,ANAMBE,FEMEA,MOSQUEIRO,72.769,17.779,13.673,15.192
178,ARARA AZUL,FEMEA,MARAJO,1008.33,89.255,89.464,30.788
179,ANAMBE,MACHO,MOSQUEIRO,83.685,19.608,14.267,13.6
180,ARARA AZUL,MACHO,MARAJO,1196.871,98.68,98.994,38.207
181,ANAMBE,MACHO,MARAJO,83.883,21.845,17.244,15.946
182,ANAMBE,FEMEA,MOSQUEIRO,69.079,18.133,11.848,13.857
183,ANAMBE,MACHO,MARAJO,87.008,25.037,17.173,13.198
184,ARARA AZUL,MACHO,MARAJO,1381.56,98.191,94.413,31.649
185,ANAMBE,MACHO,MOSQUEIRO,77.552,23.864,12.919,12.4
186,ANAMBE,MACHO,MOSQUEIRO,87.698,18.563,14.807,13.818
187,ARARA AZUL,MACHO,MARAJO,1597.141,109.885,97.375,42.064
188,ANAMBE,FEMEA,MARAJO,65.439,,14.728,12.847
189,ANAMBE,FEMEA,MOSQUEIRO,,16.335,14.389,15.603
190,PICA-PAU,MACHO,MOSQUEIRO,59.344,22.411,27.804,11.927
191,PICA-PAU,FEMEA,MOSQUEIRO,53.23,20.227,22.292,9.557
192,ANAMBE,MACHO,MOSQUEIRO,82.914,21.912,14.7,11.813
193,ANAMBE,MACHO,MOSQUEIRO,80.041,17.972,13.528,13.718
194,ARARA AZUL,FEMEA,MARAJO,1048.381,100.378,86.086,36.306
195,ANAMBE,MACHO,MOSQUEIRO,79.412,20.413,15.526,12.899
196,ANAMBE,MACHO,MOSQUEIRO,73.636,24.474,15.843,12.911
197,ANAMBE,MACHO,MOSQUEIRO,72.898,21.025,16.803,13.55
198,PICA-PAU,MACHO,MOSQUEIRO,65.479,22.772,27.556,12.886
199,PICA-PAU,MACHO,MOSQUEIRO,63.335,25.823,26.093,12.783
200,ARARA AZUL,FEMEA,MARAJO,1132.787,84.133,91.381,31.309
201,ANAMBE,FEMEA,MOSQUEIRO,72.914,19.757,12.208,15.213
202,PICA-PAU,MACHO,MOSQUEIRO,63.828,22.713,22.912,12.009
203,ANAMBE,FEMEA,MOSQUEIRO,70.998,16.963,13.877,15.203
204,ANAMBE,MACHO,MARAJO,82.548,26.191,18.087,14.622
205,ARARA AZUL,MACHO,MARAJO,1359.087,111.287,93.886,44.315
206,ARARA AZUL,MACHO,MARAJO,1445.605,94.84,89.117,39.602
207,ARARA AZUL,FEMEA,MARAJO,855.223,85.579,90.963,30.609
208,PICA-PAU,MACHO,MOSQUEIRO,64.006,26.839,24.304,12.159
209,ANAMBE,MACHO,MOSQUEIRO,84.814,25.656,16.809,12.826
210,ANAMBE,MACHO,MOSQUEIRO,78.22,20.428,14.318,12.109
211,ANAMBE,FEMEA,MOSQUEIRO,71.762,16.861,11.124,16.259
212,PICA-PAU,MACHO,MOSQUEIRO,71.138,22.358,26.396,12.008
213,ANAMBE,FEMEA,MOSQUEIRO,85.433,15.839,12.421,13.93
214,ARARA AZUL,FEMEA,MARAJO,955.823,98.487,80.662,28.514
215,ARARA AZUL,FEMEA,MARAJO,1009.106,91.483,87.11,33.944
216,ARARA AZUL,FEMEA,MARAJO,1090.638,87.649,86.174,32.837
217,ANAMBE,FEMEA,MOSQUEIRO,67.544,18.272,13.746,15.199
218,ANAMBE,MACHO,MOSQUEIRO,72.514,19.124,14.865,13.101
219,ANAMBE,MACHO,MOSQUEIRO,76.495,19.588,13.597,13.502
220,PICA-PAU,FEMEA,MOSQUEIRO,59.979,,21.362,11.353
221,PICA-PAU,FEMEA,MOSQUEIRO,62.452,20.972,21.061,11.147
222,ANAMBE,FEMEA,MARAJO,69.795,18.006,14.886,11.842
223,ANAMBE,FEMEA,MARAJO,66.401,19.558,15.942,12.273
224,ARARA AZUL,MACHO,MARAJO,1255.998,97.562,96.023,38.338
225,ANAMBE,FEMEA,MOSQUEIRO,70.394,18.77,14.509,14.156
226,ARARA AZUL,MACHO,MARAJO,1669.784,109.483,93.147,40.45
227,ARARA AZUL,MACHO,MARAJO,1577.773,110.743,96.82,38.087
228,ANAMBE,MACHO,MOSQUEIRO,83.139,24.801,15.415,11.227
229,ANAMBE,MACHO,MARAJO,85.271,22.404,16.761,12.172
230,ANAMBE,MACHO,MOSQUEIRO,85.227,19.185,14.354,14.067
231,ARARA AZUL,FEMEA,MARAJO,1170.761,92.819,93.089,33.342
232,PICA-PAU,MACHO,MOSQUEIRO,63.788,22.512,24.884,14.271
233,ANAMBE,MACHO,MOSQUEIRO,83.77,23.033,17.396,14.507
234,PICA-PAU,FEMEA,MOSQUEIRO,49.089,20.708,21.167,12.445
235,ARARA AZUL,FEMEA,MARAJO,727.539,90.414,83.158,31.953
236,PICA-PAU,MACHO,MOSQUEIRO,,23.243,25.08,12.566
237,ANAMBE,FEMEA,MOSQUEIRO,72.838,19.336,15.886,14.665
238,PICA-PAU,MACHO,MOSQUEIRO,66.901,22.417,23.502,12.358
239,ARARA AZUL,FEMEA,MARAJO,858.881,91.769,95.984,31.271
240,PICA-PAU,FEMEA,MOSQUEIRO,59.968,19.6,20.932,11.149
241,ARARA AZUL,FEMEA,MARAJO,1123.102,88.625,88.149,32.577
242,ARARA AZUL,FEMEA,MARAJO,1192.534,88.584,81.356,30.513
243,PICA-PAU,MACHO,MOSQUEIRO,59.544,20.995,26.62,10.287
244,ANAMBE,MACHO,MOSQUEIRO,82.009,19.575,14.023,14.285
245,ANAMBE,FEMEA,MOSQUEIRO,63.095,18.769,12.165,13.848
246,ARARA AZUL,MACHO,MARAJO,1279.335,98.669,106.063,40.738
247,ANAMBE,FEMEA,MOSQUEIRO,67.774,17.227,12.453,13.503
248,ANAMBE,FEMEA,MOSQUEIRO,63.54,15.638,12.532,15.848
249,PICA-PAU,MACHO,MOSQUEIRO,69.66,22.686,25.743,13.25
250,ANAMBE,FEMEA,MOSQUEIRO,69.9,16.087,13.981,11.579
251,PICA-PAU,FEMEA,MOSQUEIRO,52.491,17.586,20.897,9.867
252,ANAMBE,FEMEA,MOSQUEIRO,69.291,16.231,15.663,13.556
253,ANAMBE,FEMEA,MARAJO,72.793,18.641,14.648,13.639
254,ARARA AZUL,FEMEA,MARAJO,993.002,88.955,94.072,32.231
255,ANAMBE,MACHO,MOSQUEIRO,82.723,23.606,14.062,12.448
256,ANAMBE,FEMEA,MOSQUEIRO,72.823,17.348,12.735,15.315
257,ARARA AZUL,MACHO,MARAJO,1352.747,97.936,105.938,38.512
258,PICA-PAU,MACHO,MOSQUEIRO,73.984,26.31,26.888,13.191
259,ARARA AZUL,FEMEA,MARAJO,1239.392,87.478,87.216,34.375
260,ARARA AZUL,FEMEA,MARAJO,1225.144,92.891,82.111,32.662
261,ARARA AZUL,MACHO,MARAJO,1213.774,110.103,99.921,38.895
262,PICA-PAU,FEMEA,MOSQUEIRO,64.375,18.831,24.016,8.597
263,ANAMBE,FEMEA,MOSQUEIRO,74.768,16.747,10.944,14.303
264,ANAMBE,MACHO,MOSQUEIRO,80.922,19.055,14.198,13.18
265,PICA-PAU,MACHO,MOSQUEIRO,64.128,23.123,24.875,12.837
266,ARARA AZUL,MACHO,MARAJO,1446.338,100.529,104.992,39.187
267,ANAMBE,MACHO,MOSQUEIRO,91.839,19.923,15.781,10.627
268,ARARA AZUL,FEMEA,MARAJO,1032.73,89.206,86.277,27.949
269,PICA-PAU,FEMEA,MOSQUEIRO,60.745,20.018,23.98,10.753
270,ARARA AZUL,MACHO,MARAJO,1525.559,97.854,99.226,38.875
271,PICA-PAU,MACHO,MOSQUEIRO,58.973,22.017,26.178,12.309
272,ANAMBE,FEMEA,MOSQUEIRO,80.673,15.546,10.801,15.299
273,ARARA AZUL,MACHO,MARAJO,1301.84,92.065,100.853,34.477
274,ANAMBE,MACHO,MOSQUEIRO,77.699,19.974,14.934,11.956
275,ANAMBE,MACHO,MOSQUEIRO,80.392,,14.856,12.327
276,ANAMBE,FEMEA,MARAJO,66.103,18.661,17.141,12.231
277,ARARA AZUL,MACHO,MARAJO,1360.146,96.827,100.199,39.16
278,ANAMBE,MACHO,,87.668,22.045,17.8,16.502
279,ARARA AZUL,FEMEA,MARAJO,797.21,92.557,95.21,35.262
280,ARARA AZUL,MACHO,MARAJO,1428.539,97.717,90.959,34.865
281,ANAMBE,FEMEA,MOSQUEIRO,68.576,18.937,14.023,13.998
282,ANAMBE,FEMEA,MOSQUEIRO,62.789,18.12,14.049,10.457
283,ANAMBE,MACHO,MARAJO,90.14,20.633,15.704,16.595
284,ANAMBE,FEMEA,MARAJO,77.721,18.843,14.386,10.167
285,PICA-PAU,FEMEA,MOSQUEIRO,65.788,19.88,21.319,7.835
286,ANAMBE,FEMEA,MARAJO,71.894,23.322,15.514,14.014
287,PICA-PAU,MACHO,MOSQUEIRO,70.102,21.376,23.721,12.819
288,PICA-PAU,FEMEA,MOSQUEIRO,63.532,24.256,21.396,10.152
289,PICA-PAU,FEMEA,MOSQUEIRO,65.839,19.838,23.009,11.209
290,ANAMBE,FEMEA,MOSQUEIRO,73.623,15.332,14.229,12.711
291,ARARA AZUL,FEMEA,MARAJO,1225.963,92.491,97.416,37.034
292,ANAMBE,FEMEA,MARAJO,74.347,20.169,15.64,11.518
293,ANAMBE,FEMEA,MARAJO,77.111,17.583,14.317,10.997
294,PICA-PAU,FEMEA,MOSQUEIRO,50.242,20.245,23.147,10.272
295,ARARA AZUL,FEMEA,MARAJO,966.36,89.782,78.86,33.661
296,ARARA AZUL,MACHO,MARAJO,1546.69,97.511,103.074,37.682
297,ANAMBE,MACHO,MOSQUEIRO,81.283,19.938,15.665,13.236
298,PICA-PAU,MACHO,MOSQUEIRO,64.776,22.615,24.496,11.305
299,ANAMBE,MACHO,MOSQUEIRO,75.899,19.892,14.951,12.874
300,ANAMBE,FEMEA,MOSQUEIRO,69.499,,12.096,15.659
301,ARARA AZUL,MACHO,MARAJO,1543.579,105.332,102.089,40.044
302,ANAMBE,MACHO,MOSQUEIRO,78.271,22.829,12.129,11.445
303,ARARA AZUL,MACHO,MARAJO,1485.164,95.398,105.843,36.21
304,ANAMBE,FEMEA,MOSQUEIRO,72.008,18.336,12.696,15.769
305,ARARA AZUL,MACHO,MARAJO,1554.857,94.563,85.97,41.53
306,ANAMBE,MACHO,MOSQUEIRO,79.882,20.33,14.893,12.457
307,ARARA AZUL,MACHO,MARAJO,1528.295,100.556,105.344,41.383
308,ARARA AZUL,FEMEA,MARAJO,1169.414,92.858,90.121,32.409
309,ANAMBE,FEMEA,MOSQUEIRO,65.679,16.768,11.724,14.787
310,ANAMBE,MACHO,,88.106,23.545,16.072,13.482
311,ARARA AZUL,FEMEA,MARAJO,1186.088,86.976,93.636,29.831
312,PICA-PAU,FEMEA,MOSQUEIRO,51.837,20.262,21.561,8.404
313,PICA-PAU,MACHO,MOSQUEIRO,71.694,22.062,27.301,12.971
314,PICA-PAU,MACHO,MOSQUEIRO,62.795,21.381,23.682,11.578
315,PICA-PAU,FEMEA,MOSQUEIRO,54.686,19.324,20.605,10.67
316,PICA-PAU,MACHO,MOSQUEIRO,65.394,22.936,24.087,12.247
317,ARARA AZUL,MACHO,MARAJO,1609.352,91.182,97.192,39.905
318,PICA-PAU,FEMEA,MOSQUEIRO,49.162,19.807,23.749,9.926
319,ARARA AZUL,FEMEA,MARAJO,818.197,90.21,93.69,32.234
320,ANAMBE,FEMEA,MOSQUEIRO,66.293,14.816,13.541,17.559
321,PICA-PAU,MACHO,MOSQUEIRO,70.281,21.672,26.786,12.607
322,ANAMBE,FEMEA,MARAJO,72.619,21.831,14.63,12.343
323,ANAMBE,FEMEA,MOSQUEIRO,74.517,16.869,13.695,13.36
324,ARARA AZUL,MACHO,MARAJO,1565.076,95.716,92.799,40.659
325,ANAMBE,MACHO,MARAJO,85.463,21.705,17.378,14.838
326,ANAMBE,FEMEA,MARAJO,65.295,19.68,16.708,11.394
327,ARARA AZUL,MACHO,MARAJO,1438.562,101.276,100.829,39.361
328,ANAMBE,FEMEA,MARAJO,73.321,18.241,14.787,10.414
329,ANAMBE,FEMEA,MOSQUEIRO,70.541,17.56,11.029,15.151
330,PICA-PAU,FEMEA,MOSQUEIRO,63.82,22.92,20.74,9.443
331,ANAMBE,MACHO,MOSQUEIRO,76.888,24.023,15.049,9.919
332,ARARA AZUL,MACHO,MARAJO,1196.647,102.953,101.216,32.888
333,ARARA AZUL,MACHO,MARAJO,1792.991,105.919,101.352,36.113
334,ARARA AZUL,FEMEA,MARAJO,1328.858,88.194,81.071,28.656
335,PICA-PAU,MACHO,MOSQUEIRO,64.424,19.897,25.629,13.274
336,ANAMBE,FEMEA,MOSQUEIRO,79.383,,13.619,14.849
337,ARARA AZUL,MACHO,MARAJO,1472.526,97.779,91.061,39.025
338,PICA-PAU,FEMEA,MOSQUEIRO,49.612,20.29,23.366,8.627
339,ANAMBE,FEMEA,MARAJO,61.733,19.3,15.93,11.85
340,ANAMBE,MACHO,MOSQUEIRO,89.58,22.085,14.277,14.933
341,PICA-PAU,FEMEA,MOSQUEIRO,56.643,20.372,19.403,9.108
342,PICA-PAU,FEMEA,MOSQUEIRO,63.84,19.954,20.914,10.125
343,PICA-PAU,FEMEA,MOSQUEIRO,49.97,19.729,23.813,9.899
344,ARARA AZUL,MACHO,MARAJO,1468.834,95.763,99.87,34.336
345,ANAMBE,MACHO,MOSQUEIRO,74.981,20.344,14.579,12.14
346,ARARA AZUL,FEMEA,MARAJO,1070.647,92.006,94.041,35.854
347,ANAMBE,FEMEA,MOSQUEIRO,70.185,16.85,12.546,13.155
348,ANAMBE,MACHO,MOSQUEIRO,79.026,20.973,16.503,13.425
349,ARARA AZUL,FEMEA,MARAJO,1122.354,92.988,94.207,26.893
